Company Name,Domain,Hourly rate,Address,Main Url,Service Focus
1. DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/advertising-companies/,"Brand Research,Brand Development,Web Development"
2. Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/advertising-companies/,"Branding,Brand Integration,Advertising"
3. BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Branding,Advertising,Marketing Strategy"
4. Division of Labor,https://www.divisionoflabor.com/,$100-$149/hr,Sausalito California ,https://99firms.com/advertising-companies/,"Advertising,Branding,Web Design"
5. Sensis,https://www.sensisagency.com/,$150-$199/hr,Los Angeles California ,https://99firms.com/advertising-companies/,"Marketing Strategy,SEM/SEO,Earned Media,Branding"
6. Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/advertising-companies/,"Branding,Web Development,Content Development"
7. REQ,https://req.co/,$150-$199/hr,Washington District of Columbia ,https://99firms.com/advertising-companies/,"Advertising,SEO,PR,Social Media,Branding"
8. Jacob Tyler,https://www.jacobtyler.com/,$150-$199/hr,San Diego California ,https://99firms.com/advertising-companies/,"Advertising Campaigns,Media Planning,Outdoor Advertising,UX,Design & Development"
9. IPNY,https://ipny.com/,$200-$300/hr,New York New York ,https://99firms.com/advertising-companies/,"Advertising,Digital Marketing,Social Media"
10. THIEL,https://thiel.com/,$100-$149/hr,Milwaukee Wisconsin ,https://99firms.com/advertising-companies/,"Marketing,Website Design,Branding"
11. Hub Strategy and Communication,https://hubsanfrancisco.com/,$150-$199/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Media Planning & Buying"
12. GKV,https://gkv.com/,$150-$199/hr,Baltimore Maryland ,https://99firms.com/advertising-companies/,"Advertising,Brand Development,Digital Marketing,Media Planning & Buying,PR"
13. Bay Creative,https://www.baycreative.com/,$100-$149/hr,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,SEO,UI/UX,PPC"
14. Power Agency,https://www.poweragency.com/,$100-$149/hr,Louisville Kentucky ,https://99firms.com/advertising-companies/,"Branding & Identity,Digital Marketing,Print Buying,Traditional Advertising"
15. Citizen Group,http://www.citizengroup.com/,$200-$300,San Francisco California ,https://99firms.com/advertising-companies/,"Advertising,Marketing Strategy,Branding"
16. Pure Fusion Media,https://www.purefusionmedia.com/,$100-$149/hr,Phoenix Arizona ,https://99firms.com/advertising-companies/,"Branding,Advertising,Web Design"
17. Venthio,https://www.venthio.com/,$200-$300/hr,Dana Point California ,https://99firms.com/advertising-companies/,"Marketing Strategy,Advertising,Branding"
18. Huntington Pacific Media,https://huntingtonpacificmedia.com/,$150-$199/hr,Irvine California ,https://99firms.com/advertising-companies/,"Social Media Management,Social Media Advertising,Photo and Video Content Production,PPC,Digital Marketing"
1. Illustria,https://illustria.co/,$100-$149/hr,Washington District of Columbia ,https://99firms.com/branding-companies/,"Branding,Business Consulting,Brand Marketing"
2. DEKSIA,https://deksia.com/,$100-$149/hr,Grand Rapids Michigan ,https://99firms.com/branding-companies/,"Brand Research,Brand Development,Web Development"
3. Spire Agency,https://spireagency.com/,$150-$199/hr,Addison Texas ,https://99firms.com/branding-companies/,"Branding,Brand Integration,Advertising"
4. C42D,https://www.c42d.com/,$150-$199/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Strategy,Brand Identity Design,Web & Digital Design"
5. BrandTuitive,https://www.brandtuitive.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Advertising,Marketing Strategy"
6. Matchstic,https://matchstic.com/,$150-$199/hr,Atlanta Georgia ,https://99firms.com/branding-companies/,"Branding,Brand Strategy,Brand Identity"
7. Anchour,https://www.anchour.com/,$150-$199/hr,Lewiston Maine ,https://99firms.com/branding-companies/,"Branding,Web Development,Content Development"
8. Brand Juice,https://www.brandjuice.com/,$150-$199/hr,Denver Colorado ,https://99firms.com/branding-companies/,"Branding,Marketing,Advertising"
9. Tenet Partners,https://tenetpartners.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,UX/UI Design,Strategy"
10. Finien,https://www.finien.com/,$200-$300/hr,Long Beach California ,https://99firms.com/branding-companies/,"Branding,Logo Design,Marketing Strategy"
11. Traina,https://trainadesign.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Graphic Design & Marketing,Websites & interactive"
12. WANT,https://wantbranding.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Brand Implementation,Brand Evaluation & Research,Brand Definition & Positioning"
13. Noble Studios,https://noblestudios.com/,$150-$199/hr,Reno Nevada ,https://99firms.com/branding-companies/,"Pay Per Click,Search Engine Optimization,Web Development"
14. DeSantis Breindel,https://www.desantisbreindel.com/,$200-$300/hr,New York New York ,https://99firms.com/branding-companies/,"Branding,Digital Strategy,Marketing Strategy"
15. Paragraphs LLCâ€™s,https://paragraphs.com/,$100-$149/hr,Chicago Illinois ,https://99firms.com/branding-companies/,"Branding,Graphic Design,Logo Design"
16. BLVR,https://blvr.com/,$150-$199/hr,San Diego California ,https://99firms.com/branding-companies/,"Branding,Packaging Design,Web Design"
17. Webster,http://websterdesign.com/,$100-$149/hr,Omaha Nebraska ,https://99firms.com/branding-companies/,"Branding,Advertising,Logo Design"
18. Modern8,http://www.modern8.com/,$150-$199/hr,Salt Lake City Utah ,https://99firms.com/branding-companies/,"Branding,Social Media Marketing,Web Design"
19. Salt Branding,https://saltbranding.com/,$150-$199/hr,San Francisco California ,https://99firms.com/branding-companies/,"Branding,Marketing Strategy,Web Design"
20. Emotive Brand,https://www.emotivebrand.com/,$100-$149/hr,Oakland California ,https://99firms.com/branding-companies/,"Branding,Logo Design,Marketing Strategy"
21. Maestro Digital,https://maestrodigital.co/,$50-$99/hr,Los Angeles California ,https://99firms.com/branding-companies/,"Strategy & Positioning,Design & Prototyping,Branding & Identity,Digital & Interaction,Social Engagement"
22. Global Brand Works,https://globalbrandworks.com/,$200-$300/hr,San Francisco California ,https://99firms.com/branding-companies/,"Branding,Logo Design,Market Research"
23. Gohan Concepts,https://www.gohanconcepts.com/,$150-$199/hr,Makati Metro Manila ,https://99firms.com/branding-companies/,"Branding,Logo Design,Digital Marketing,Web Development"
24. We Are Garden,https://wearegarden.co.uk/,$100-$149/hr, England ,https://99firms.com/branding-companies/,"Branding,Brand Audit,Brand Research & Strategy,Brand Creation,Brand Implementation"
25. Heirloom,https://www.heirloomagency.com/,$200-$300,Pacifica California ,https://99firms.com/branding-companies/,"Brand Strategy,Brand Naming,Brand Architecture,Messaging & Voice,Visual Identity Design"
26. Cadabra Studio,https://cadabra.studio/,$25-$49/hr,San Francisco California ,https://99firms.com/branding-companies/,"UI/UX Design,UX Research,Web Design & Development,Branding & Logo Design,Identity Design"
