Company Name,Franchise sinds,Aantal vestigingen,Waarvan franchise ,Totale investering ,Eigen vermogen ,Main Url
Fortune Coffee,2000,30,30,€ 80.000,€ 17.500,https://franchiseplus.nl/franchiseformule/fortune-coffee
Foodmaster,1997,49,49,,€ 35.000,https://franchiseplus.nl/franchiseformule/foodmaster
Partytentverhuur Nederland,2013,22,21,€ 4.000,€ 4.000,https://franchiseplus.nl/franchiseformule/partytentverhuur-nederland
Par Hasard,2018,6,3,€ 335.000,€ 90.000,https://franchiseplus.nl/franchiseformule/par-hasard
Pander Consultancy,2006,21,18,,,https://franchiseplus.nl/franchiseformule/pander-consultancy
Papa John’s,2016,,,€ 195.000,€ 45.000,https://franchiseplus.nl/franchiseformule/papa-johns
Optie1,2006,55,55,,,https://franchiseplus.nl/franchiseformule/optie1
New York Pizza,1993,203,201,€ 180.000,€ 40.000,https://franchiseplus.nl/franchiseformule/new-york-pizza
Nedflex Uitzendbureau,1995,52,8,,,https://franchiseplus.nl/franchiseformule/nedflex-uitzendbureau
MultiVlaai,1986,90,90,€ 85.000,€ 20.000,https://franchiseplus.nl/franchiseformule/multivlaai
Monuta Uitvaartzorg,2000,95,55,€ 25.000,,https://franchiseplus.nl/franchiseformule/monuta-uitvaartzorg
Motorhome Depot Nederland,,56,54,€ 20.000,€ 20.000,https://franchiseplus.nl/franchiseformule/motorhome-depot-nederland
Mitra Retail B.V.,1974,115,115,,,https://franchiseplus.nl/franchiseformule/mitra-retail-bv
Mathnasium,,1000,,€ 793.000,€ 500.000,https://franchiseplus.nl/franchiseformule/mathnasium
M Room,2008,80,70,€ 200.000,€ 45.000,https://franchiseplus.nl/franchiseformule/m-room
Limburgia,1993,69,68,€ 40.000,,https://franchiseplus.nl/franchiseformule/limburgia
Leonidas,1913,200,175,,€ 10.000,https://franchiseplus.nl/franchiseformule/leonidas
Laser Space,2008,11,11,€ 180.000,€ 100.000,https://franchiseplus.nl/franchiseformule/laser-space
Ladyline,1995,13,13,€ 125.000,€ 40.000,https://franchiseplus.nl/franchiseformule/ladyline
KVIK,1998,150,142,€ 180.000,€ 50.000,https://franchiseplus.nl/franchiseformule/kvik
Kwalitaria,1990,142,141,,,https://franchiseplus.nl/franchiseformule/kwalitaria
Johnny's Burger,2011,20,20,€ 100.000,€ 50.000,https://franchiseplus.nl/franchiseformule/johnnys-burger
Jamin,1985,95,93,€ 120.000,€ 33.000,https://franchiseplus.nl/franchiseformule/jamin
iQ Makelaars,2018,9,7,€ 12.500,€ 10.000,https://franchiseplus.nl/franchiseformule/iq-makelaars
Inner Stance,2015,13,12,€ 75.000,,https://franchiseplus.nl/franchiseformule/inner-stance
iDevice+,2016,19,18,€ 8.000,€ 12.000,https://franchiseplus.nl/franchiseformule/idevice
iBinder,2008,,,,,https://franchiseplus.nl/franchiseformule/ibinder
HouseHunting,2007,19,19,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/househunting
House to sell,2017,2,1,€ 5.000,€ 10.000,https://franchiseplus.nl/franchiseformule/house-to-sell
Herbergier,2007,42,42,,,https://franchiseplus.nl/franchiseformule/herbergier
Greenberry's Coffee Co.,2000,,,€ 900.000,,https://franchiseplus.nl/franchiseformule/greenberrys-coffee-co
Grando Keukens & Bad,1965,36,36,,,https://franchiseplus.nl/franchiseformule/grando-keukens-bad
Flexibility Groep,2006,120,120,,€ 1.000,https://franchiseplus.nl/franchiseformule/flexibility-groep
fit20,2009,140,140,€ 75.000,€ 17.500,https://franchiseplus.nl/franchiseformule/fit20
FEBO,1978,65,60,€ 300.000,€ 75.000,https://franchiseplus.nl/franchiseformule/febo
ESPRIT,2000,70,49,,,https://franchiseplus.nl/franchiseformule/esprit
Family,1994,45,45,,€ 35.000,https://franchiseplus.nl/franchiseformule/family
ENJO,1990,26,23,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/enjo
eismann,1982,32,32,€ 8.000,€ 0,https://franchiseplus.nl/franchiseformule/eismann
Délifrance,1984,113,113,,,https://franchiseplus.nl/franchiseformule/delifrance
Doppio Espresso,2007,33,33,€ 240.000,€ 48.000,https://franchiseplus.nl/franchiseformule/doppio-espresso
Domino's Pizza,1967,267,240,€ 300.000,€ 50.000,https://franchiseplus.nl/franchiseformule/dominos-pizza
De Pizzabakkers - pizza&prosecco,2016,23,17,€ 250.000,€ 25.000,https://franchiseplus.nl/franchiseformule/pizzabakkers-pizzaprosecco
"Daisy's Ice, Coffee & More",2012,4,3,€ 137.500,€ 35.000,https://franchiseplus.nl/franchiseformule/daisys-ice-coffee-more
DA,1942,360,350,,€ 50.000,https://franchiseplus.nl/franchiseformule/da
Coffee-Bike,2010,250,250,€ 13.490,€ 0,https://franchiseplus.nl/franchiseformule/coffee-bike
"Claassen, Moolenbeek & Partners",1983,80,80,,€ 15.000,https://franchiseplus.nl/franchiseformule/claassen-moolenbeek-partners
Chocolaterie Albèrt,,5,4,€ 50.000,€ 25.000,https://franchiseplus.nl/franchiseformule/chocolaterie-albert
Cambridge Weight Plan,,400,,,€ 3.000,https://franchiseplus.nl/franchiseformule/cambridge-weight-plan
BurgerBusiness,2019,3,0,€ 137.500,€ 25.000,https://franchiseplus.nl/franchiseformule/burgerbusiness
Bruna,1963,300,241,,€ 40.000,https://franchiseplus.nl/franchiseformule/bruna
Bakker Bart,1977,177,173,,,https://franchiseplus.nl/franchiseformule/bakker-bart
Bailine,2005,13,13,€ 35.000,€ 5.000,https://franchiseplus.nl/franchiseformule/bailine
backWERK,2003,350,26,€ 320.000,€ 40.000,https://franchiseplus.nl/franchiseformule/backwerk
Autotaalglas,1986,54,54,,€ 0,https://franchiseplus.nl/franchiseformule/autotaalglas
Anytime Fitness,2002,5000,,€ 375.000,€ 100.000,https://franchiseplus.nl/franchiseformule/anytime-fitness
Anne&Max,2012,17,16,€ 300.000,€ 60.000,https://franchiseplus.nl/franchiseformule/annemax
ActionCOACH,1997,1000,1000,€ 19.500,€ 0,https://franchiseplus.nl/franchiseformule/actioncoach
Abeos,2019,16,1,€ 7.400,,https://franchiseplus.nl/franchiseformule/abeos
30ml,2018,9,9,€ 150.000,€ 25.000,https://franchiseplus.nl/franchiseformule/30ml
Tubz franchise in Nederland,2017,8,7,€ 2.999,€ 2.999,https://franchiseplus.nl/franchiseformule/tubz-franchise-in-nederland
Thomashuis,2003,118,,,,https://franchiseplus.nl/franchiseformule/thomashuis
Ambiance Zonwering,,43,43,€ 10.000,€ 5.000,https://franchiseplus.nl/franchiseformule/ambiance-zonwering
Ambachtsbakker,2001,83,,,,https://franchiseplus.nl/franchiseformule/ambachtsbakker
Alexanderhoeve,2013,70,70,,,https://franchiseplus.nl/franchiseformule/alexanderhoeve
Akwaak,2006,12,,€ 10.000,,https://franchiseplus.nl/franchiseformule/akwaak
Albert Heijn,1981,881,261,,€ 150.000,https://franchiseplus.nl/franchiseformule/albert-heijn
AKTIE Notarissen,2005,9,8,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/aktie-notarissen
AKER uitvaarten,2012,6,6,€ 11.000,,https://franchiseplus.nl/franchiseformule/aker-uitvaarten
AgriTeam Makelaars / Landelijk-wonen,2000,13,13,€ 40.000,,https://franchiseplus.nl/franchiseformule/agriteam-makelaars-landelijk-wonen
Afslankpraktijk Mijn eigen Lijn,2008,2,2,€ 3.000,€ 3.000,https://franchiseplus.nl/franchiseformule/afslankpraktijk-mijn-eigen-lijn
Accor Hotels,1976,41,22,,,https://franchiseplus.nl/franchiseformule/accor-hotels
ABC Restaurants,,,,,,https://franchiseplus.nl/franchiseformule/abc-restaurants
Aafje,,,,,,https://franchiseplus.nl/franchiseformule/aafje
ABACUS bijlesinstituut,1993,10,9,€ 12.000,,https://franchiseplus.nl/franchiseformule/abacus-bijlesinstituut
8tea5,2012,2,1,€ 60.000,€ 18.000,https://franchiseplus.nl/franchiseformule/8tea5
7camicie,2001,400,350,€ 60.000,€ 30.000,https://franchiseplus.nl/franchiseformule/7camicie
40PlusRelatie,2006,11,10,,,https://franchiseplus.nl/franchiseformule/40plusrelatie
2theloo,2011,63,57,€ 50.000,€ 20.000,https://franchiseplus.nl/franchiseformule/2theloo
2Divorce,2009,32,32,,€ 20.000,https://franchiseplus.nl/franchiseformule/2divorce
2B Connected Staffing & Recruitment,2014,8,8,€ 2.500,€ 15.000,https://franchiseplus.nl/franchiseformule/2b-connected-staffing-recruitment
24People,2013,15,14,,€ 0,https://franchiseplus.nl/franchiseformule/24people
123Wonen,2009,28,28,€ 15.000,€ 15.000,https://franchiseplus.nl/franchiseformule/123wonen
123Boekhouden,2017,,,,,https://franchiseplus.nl/franchiseformule/123boekhouden
100% Talent,2013,8,8,,,https://franchiseplus.nl/franchiseformule/100-talent
úw topSlijter,,80,,€ 50.000,,https://franchiseplus.nl/franchiseformule/uw-topslijter
Yarden Uitvaartorganisatie,2008,52,28,€ 25.000,€ 15.000,https://franchiseplus.nl/franchiseformule/yarden-uitvaartorganisatie
World Options,2018,9,9,,€ 50.000,https://franchiseplus.nl/franchiseformule/world-options
Wayback Burgers,2009,142,142,€ 400.000,€ 150.000,https://franchiseplus.nl/franchiseformule/wayback-burgers
Vital 4 Skool,2009,26,26,€ 10.000,€ 20.000,https://franchiseplus.nl/franchiseformule/vital-4-skool
UwMakelaar,2010,6,5,,€ 14.500,https://franchiseplus.nl/franchiseformule/uwmakelaar
TWIN Workwear,2016,2,1,€ 15.000,€ 20.000,https://franchiseplus.nl/franchiseformule/twin-workwear
The Read Shop Express,1992,70,70,,€ 30.000,https://franchiseplus.nl/franchiseformule/read-shop-express
The Read Shop,1992,100,100,,€ 30.000,https://franchiseplus.nl/franchiseformule/read-shop
THE BUTCHER,2018,9,1,€ 400.000,,https://franchiseplus.nl/franchiseformule/thebutcher
Teamsportswear.nl,2019,1,,€ 0,€ 5.000,https://franchiseplus.nl/franchiseformule/teamsportswearnl
Taco Mundo,2006,25,25,€ 135.000,€ 40.000,https://franchiseplus.nl/franchiseformule/taco-mundo
Subway,1974,212,212,,€ 40.000,https://franchiseplus.nl/franchiseformule/subway
Straetus Incasso franchise,2009,31,30,€ 15.000,€ 10.000,https://franchiseplus.nl/franchiseformule/straetus-incasso-franchise
StomerijCollectief,2019,3,2,€ 35.000,€ 7.000,https://franchiseplus.nl/franchiseformule/stomerijcollectief
SpeedHeat,1988,6,6,€ 100.000,€ 20.000,https://franchiseplus.nl/franchiseformule/speedheat
Speed Queen Concept Store,2015,,,€ 100.000,€ 30.000,https://franchiseplus.nl/franchiseformule/speed-queen-concept-store
Specsavers,1984,144,144,,€ 10.000,https://franchiseplus.nl/franchiseformule/specsavers
Spare Rib Express,1992,61,61,€ 158.000,€ 30.000,https://franchiseplus.nl/franchiseformule/spare-rib-express
SNS Franchise,2009,223,156,,€ 25.000,https://franchiseplus.nl/franchiseformule/sns-franchise
Snap Fitness,2003,2000,1500,€ 350.000,€ 75.000,https://franchiseplus.nl/franchiseformule/snap-fitness
Simon Lévelt koffie en thee,1995,43,36,€ 150.000,€ 35.000,https://franchiseplus.nl/franchiseformule/simon-levelt-koffie-thee
Schoolfruit.nl,2016,10,10,,,https://franchiseplus.nl/franchiseformule/schoolfruitnl
Sales Improvement Group,2005,35,35,€ 14.500,€ 4.500,https://franchiseplus.nl/franchiseformule/sales-improvement-group
Ritel,2009,22,8,,,https://franchiseplus.nl/franchiseformule/ritel
REGUS,2012,,30,€ 400.000,€ 75.000,https://franchiseplus.nl/franchiseformule/regus
Q.ouT fietsen,2018,2,1,€ 17.500,€ 5.000,https://franchiseplus.nl/franchiseformule/qout-fietsen
Quetzal,2008,11,4,€ 65.000,€ 30.000,https://franchiseplus.nl/franchiseformule/quetzal
Profel Kozijnen & Deuren,2015,15,,€ 25.000,€ 25.000,https://franchiseplus.nl/franchiseformule/profel-kozijnen-deuren
Proozt,2018,1,1,,,https://franchiseplus.nl/franchiseformule/proozt
Prince Pie,2019,1,1,€ 5.000,€ 5.000,https://franchiseplus.nl/franchiseformule/prince-pie
Poké Perfect,2017,5,1,€ 180.000,€ 30.000,https://franchiseplus.nl/franchiseformule/poke-perfect
PIRTEK,1997,20,19,€ 350.000,€ 125.000,https://franchiseplus.nl/franchiseformule/pirtek
Personal Fitness Nederland,2016,83,73,€ 20.000,€ 5.000,https://franchiseplus.nl/franchiseformule/personal-fitness-nederland
BBQenzo.nl,2010,13,13,€ 20.000,€ 10.000,https://franchiseplus.nl/franchiseformule/bbqenzonl
Budget Broodjes,,7,7,€ 56.000,€ 17.000,https://franchiseplus.nl/franchiseformule/budget-broodjes
Christine le Duc,2009,8,5,€ 120.000,€ 30.000,https://franchiseplus.nl/franchiseformule/christine-le-duc
Chocolaterie Boulanger,2000,12,9,,€ 10.000,https://franchiseplus.nl/franchiseformule/chocolaterie-boulanger
ChiqueOLatte,2017,3,,€ 125.000,€ 43.750,https://franchiseplus.nl/franchiseformule/chiqueolatte
ChipsAway,1999,26,24,€ 38.750,€ 19.375,https://franchiseplus.nl/franchiseformule/chipsaway
Chi-Chi's,1992,42,42,€ 250.000,€ 100.000,https://franchiseplus.nl/franchiseformule/chi-chis
Chicago Roast House,1997,7,6,€ 75.000,€ 60.000,https://franchiseplus.nl/franchiseformule/chicago-roast-house
Chem-Dry,1990,55,55,€ 35.000,€ 12.000,https://franchiseplus.nl/franchiseformule/chem-dry
Cenzo,,96,96,€ 2.225,€ 2.225,https://franchiseplus.nl/franchiseformule/cenzo
Century 21 Benelux,1972,4,4,,,https://franchiseplus.nl/franchiseformule/century-21-benelux
Cash Converters,,12,12,€ 250.000,€ 60.000,https://franchiseplus.nl/franchiseformule/cash-converters
Casa Barista Espresso,,5,4,€ 5.000,,https://franchiseplus.nl/franchiseformule/casa-barista-espresso
Carrière Uitzendbureau,2008,33,32,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/carriere-uitzendbureau
CarProf,2013,62,62,,,https://franchiseplus.nl/franchiseformule/carprof
Carola van Benthum,2015,3,2,€ 90.000,€ 75.000,https://franchiseplus.nl/franchiseformule/carola-van-benthum
Cargo Cab Courier,2009,4,3,€ 7.000,€ 4.000,https://franchiseplus.nl/franchiseformule/cargo-cab-courier
Careers in Sales,2013,6,6,,,https://franchiseplus.nl/franchiseformule/careers-in-sales
Career Result,2000,11,11,,,https://franchiseplus.nl/franchiseformule/career-result
Career Factory,,,,,,https://franchiseplus.nl/franchiseformule/career-factory
Care Group,,10,10,€ 10.000,,https://franchiseplus.nl/franchiseformule/care-group
Care for Women,,,,,,https://franchiseplus.nl/franchiseformule/care-for-women
Campermakelaar.nl,,9,7,,,https://franchiseplus.nl/franchiseformule/campermakelaarnl
Care & Beauty,2018,26,,,,https://franchiseplus.nl/franchiseformule/care-beauty
BusinessBuilding,2010,20,20,€ 9.500,€ 9.500,https://franchiseplus.nl/franchiseformule/businessbuilding
Business Plaza,2013,42,42,€ 1.250,,https://franchiseplus.nl/franchiseformule/business-plaza
Buro Zorgregie,2006,15,15,,€ 15.000,https://franchiseplus.nl/franchiseformule/buro-zorgregie
Buro Leerlingenhulp,2006,28,21,€ 1.750,,https://franchiseplus.nl/franchiseformule/buro-leerlingenhulp
burgerme,2014,50,10,€ 200.000,€ 60.000,https://franchiseplus.nl/franchiseformule/burgerme
Burger King,,69,54,,,https://franchiseplus.nl/franchiseformule/burger-king
Buitenstate,2009,37,37,,,https://franchiseplus.nl/franchiseformule/buitenstate
Bufkes,1996,39,38,€ 175.000,€ 50.000,https://franchiseplus.nl/franchiseformule/bufkes
Brownies&downieS,2012,56,57,€ 175.000,,https://franchiseplus.nl/franchiseformule/browniesdownies
Broodjestijd BV,,,,,,https://franchiseplus.nl/franchiseformule/broodjestijd-bv
Broodje Bewust,2018,1,0,€ 150.000,€ 40.000,https://franchiseplus.nl/franchiseformule/broodje-bewust
Broodje Ben,2017,3,1,€ 65.000,€ 15.000,https://franchiseplus.nl/franchiseformule/broodje-ben
Brazuca Coffee,2016,4,4,,,https://franchiseplus.nl/franchiseformule/brazuca-coffee
BRAM'S Gourmet Frites,1967,38,32,,,https://franchiseplus.nl/franchiseformule/brams-gourmet-frites
Bram Ladage,1967,38,32,,€ 50.000,https://franchiseplus.nl/franchiseformule/bram-ladage
BP Nederland,1960,150,80,,€ 200.000,https://franchiseplus.nl/franchiseformule/bp-nederland
Bouwpartners,2015,4,2,€ 10.000,,https://franchiseplus.nl/franchiseformule/bouwpartners
Bouwmaat,1986,46,46,,,https://franchiseplus.nl/franchiseformule/bouwmaat
Boev,2013,3,2,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/boev
BodySwitch,2015,5,5,€ 10.000,,https://franchiseplus.nl/franchiseformule/bodyswitch
BoConcept,,8,0,€ 250.000,,https://franchiseplus.nl/franchiseformule/boconcept
BNI Nederland,2010,26,15,,,https://franchiseplus.nl/franchiseformule/bni-nederland
Blokker,1971,450,90,€ 350.000,€ 40.000,https://franchiseplus.nl/franchiseformule/blokker
Binnen,1983,30,30,,,https://franchiseplus.nl/franchiseformule/binnen
Bilingual Kids,2006,4,3,€ 10.000,€ 500,https://franchiseplus.nl/franchiseformule/bilingual-kids
BilancioBudget,2013,27,17,€ 25.000,€ 25.000,https://franchiseplus.nl/franchiseformule/bilanciobudget
Bike Totaal,1995,143,143,,,https://franchiseplus.nl/franchiseformule/bike-totaal
Bikago,2018,2,1,€ 60.000,€ 18.000,https://franchiseplus.nl/franchiseformule/bikago
Big Snack,1998,100,100,,,https://franchiseplus.nl/franchiseformule/big-snack
Big Five for Life,2015,14,13,,,https://franchiseplus.nl/franchiseformule/big-five-for-life
Big Bread Kitchen,2008,22,20,€ 200.000,€ 70.000,https://franchiseplus.nl/franchiseformule/big-bread-kitchen
Bieden & Wonen,2017,4,4,,€ 24.180,https://franchiseplus.nl/franchiseformule/bieden-wonen
BHV EHBO NedCert Opleider,2013,4,4,,,https://franchiseplus.nl/franchiseformule/bhv-ehbo-nedcert-opleider
Best Western,1984,102,51,,,https://franchiseplus.nl/franchiseformule/best-western
BENU Apotheek,2000,360,360,,€ 250.000,https://franchiseplus.nl/franchiseformule/benu-apotheek
Belisol,1977,83,,€ 200.000,€ 75.000,https://franchiseplus.nl/franchiseformule/belisol
BeddenXperts,2001,11,10,€ 45.000,€ 7.500,https://franchiseplus.nl/franchiseformule/beddenxperts
bbb health boutique,2014,10,7,€ 150.000,€ 30.000,https://franchiseplus.nl/franchiseformule/bbb-health-boutique
Battery Street,2014,9,4,€ 100.000,€ 25.000,https://franchiseplus.nl/franchiseformule/battery-street
Baskin-Robbins,,,,,,https://franchiseplus.nl/franchiseformule/baskin-robbins
Barista Cafe,2014,24,24,€ 210.000,€ 52.500,https://franchiseplus.nl/franchiseformule/barista-cafe
Banden- / VelgenShop,2010,,7,,,https://franchiseplus.nl/franchiseformule/banden-velgenshop
Ballorig,1999,38,,,,https://franchiseplus.nl/franchiseformule/ballorig
Bakkertje Bol,,,,,,https://franchiseplus.nl/franchiseformule/bakkertje-bol
Bakker Klootwijk,1990,29,29,€ 20.000,€ 17.500,https://franchiseplus.nl/franchiseformule/bakker-klootwijk
Bagels & Beans,2002,73,73,€ 200.000,€ 40.000,https://franchiseplus.nl/franchiseformule/bagels-beans
BAE-GROEP,1990,171,170,,,https://franchiseplus.nl/franchiseformule/bae-groep
Baderie,1979,49,46,,,https://franchiseplus.nl/franchiseformule/baderie
Bad in Beeld,2008,42,42,,,https://franchiseplus.nl/franchiseformule/bad-in-beeld
Baden+,2011,46,46,,,https://franchiseplus.nl/franchiseformule/baden
Baby Sensory,2012,9,8,€ 12.000,€ 6.000,https://franchiseplus.nl/franchiseformule/baby-sensory
BabyView,1992,2,2,,,https://franchiseplus.nl/franchiseformule/babyview
Avance W&S,2007,9,6,,€ 1.950,https://franchiseplus.nl/franchiseformule/avance-ws
Autoschade Herstel Groep,2010,51,51,,,https://franchiseplus.nl/franchiseformule/autoschade-herstel-groep
AutoRent & Partners,2000,12,12,,,https://franchiseplus.nl/franchiseformule/autorent-partners
Autohopper,2011,97,96,,€ 40.000,https://franchiseplus.nl/franchiseformule/autohopper
Autoglaz,2010,160,160,€ 25.000,€ 30.000,https://franchiseplus.nl/franchiseformule/autoglaz
Auto-Care,1994,11,,,,https://franchiseplus.nl/franchiseformule/auto-care
ASN Autoschade Nederland,,80,80,,,https://franchiseplus.nl/franchiseformule/asn-autoschade-nederland
Ariane Inden,1992,74,71,€ 26.000,€ 10.500,https://franchiseplus.nl/franchiseformule/ariane-inden
Appel & Ei,2014,14,,€ 50.000,€ 10.000,https://franchiseplus.nl/franchiseformule/appel-ei
AnyTyme,2003,,,€ 350.000,€ 80.000,https://franchiseplus.nl/franchiseformule/anytyme
ANWB Rijopleiding,1997,54,54,,,https://franchiseplus.nl/franchiseformule/anwb-rijopleiding
Animal Greetings,1995,23,23,€ 50.000,€ 20.000,https://franchiseplus.nl/franchiseformule/animal-greetings
Amstel Housing,,6,4,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/amstel-housing
AMI Kappers,1997,110,62,,€ 0,https://franchiseplus.nl/franchiseformule/ami-kappers
De Fraude Experts,0,0,0,,,https://franchiseplus.nl/franchiseformule/fraude-experts
Domica,2012,21,21,€ 40.000,€ 20.000,https://franchiseplus.nl/franchiseformule/domica
Expert,1967,140,140,€ 250.000,€ 50.000,https://franchiseplus.nl/franchiseformule/expert
Expense Reduction Analysts,1992,700,700,€ 59.900,,https://franchiseplus.nl/franchiseformule/expense-reduction-analysts
Executives Online,,,,,,https://franchiseplus.nl/franchiseformule/executives-online
ExcluFloorS,2016,3,,,,https://franchiseplus.nl/franchiseformule/exclu-floors
Executive Home Rentals,2010,14,14,€ 22.500,€ 20.000,https://franchiseplus.nl/franchiseformule/executive-home-rentals
European Yachting Network,2006,12,12,€ 17.500,,https://franchiseplus.nl/franchiseformule/european-yachting-network
Euronics,,99,99,,,https://franchiseplus.nl/franchiseformule/euronics
Etos,1989,539,242,,,https://franchiseplus.nl/franchiseformule/etos
Eten met gemak!,2015,31,30,€ 5.900,€ 5.900,https://franchiseplus.nl/franchiseformule/eten-met-gemak
Espresso Passion,,,,,,https://franchiseplus.nl/franchiseformule/espresso-passion
Escaping,2017,3,,€ 150.000,€ 30.000,https://franchiseplus.nl/franchiseformule/escaping
Equivalenza,,,,,,https://franchiseplus.nl/franchiseformule/equivalenza
Enorm,1971,0,38,,,https://franchiseplus.nl/franchiseformule/enorm
EPSN Workforce,2014,,,,,https://franchiseplus.nl/franchiseformule/epsn-workforce
Engage & Grow,2016,100,100,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/engage-grow
ElectronicPartner,1973,475,85,,,https://franchiseplus.nl/franchiseformule/electronicpartner
Electro World,,142,142,,,https://franchiseplus.nl/franchiseformule/electro-world
Ekoplaza,2010,83,43,€ 125.000,€ 40.000,https://franchiseplus.nl/franchiseformule/ekoplaza
Eijgen Finance,2014,10,8,€ 15.000,€ 25.000,https://franchiseplus.nl/franchiseformule/eijgen-finance
Eigen Horeca Makelaar,2009,10,9,€ 5.500,€ 5.500,https://franchiseplus.nl/franchiseformule/eigen-horeca-makelaar
Eetwinkel,2014,25,25,€ 250.000,,https://franchiseplus.nl/franchiseformule/eetwinkel
eazie,2007,17,14,€ 300.000,€ 75.000,https://franchiseplus.nl/franchiseformule/eazie
Dstrezzed,2017,5,4,€ 20.000,,https://franchiseplus.nl/franchiseformule/dstrezzed
Easy2Drive,2017,14,14,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/easy2drive
DSR food,2005,33,33,€ 1.000,€ 0,https://franchiseplus.nl/franchiseformule/dsr-food
DROGIST Bewust Beter,1981,112,,€ 80.000,€ 30.000,https://franchiseplus.nl/franchiseformule/drogist-bewust-beter
Dreamplafonds,,1,0,€ 45.000,€ 22.500,https://franchiseplus.nl/franchiseformule/dreamplafonds
Douglas,2012,120,19,€ 350.000,,https://franchiseplus.nl/franchiseformule/douglas
Dorsoo,2009,9,1,€ 100.000,,https://franchiseplus.nl/franchiseformule/dorsoo
DOOR Training & Coaching,1981,64,11,,€ 2.000,https://franchiseplus.nl/franchiseformule/door-training-coaching
DokterBed,2011,9,9,€ 12.000,€ 6.000,https://franchiseplus.nl/franchiseformule/dokterbed
Dockers & Co,1994,6,6,€ 135.000,,https://franchiseplus.nl/franchiseformule/dockers-co
Discus,1965,108,108,,,https://franchiseplus.nl/franchiseformule/discus
DiGusti,2010,,,,,https://franchiseplus.nl/franchiseformule/digusti
Dierspecialist,2003,80,80,,,https://franchiseplus.nl/franchiseformule/dierspecialist
DierenDokters,2005,14,13,€ 350.000,€ 50.000,https://franchiseplus.nl/franchiseformule/dierendokters
Demarrage Fietskoeriers,2004,4,4,€ 2.000,€ 2.000,https://franchiseplus.nl/franchiseformule/demarrage-fietskoeriers
Decorette,1972,50,50,€ 50.000,€ 25.000,https://franchiseplus.nl/franchiseformule/decorette
Decokay,,45,45,€ 120.000,€ 55.000,https://franchiseplus.nl/franchiseformule/decokay
De Woonspecialist,2017,20,20,,,https://franchiseplus.nl/franchiseformule/woonspecialist
Deco Home,1989,32,32,€ 200.000,€ 15.000,https://franchiseplus.nl/franchiseformule/deco-home
De Witgoedspecialist,,50,50,,,https://franchiseplus.nl/franchiseformule/witgoedspecialist
De Verleiding,,5,,,,https://franchiseplus.nl/franchiseformule/verleiding
De Vakman,2004,41,40,€ 10.000,€ 1.500,https://franchiseplus.nl/franchiseformule/vakman
De Vastgoed Experts,2015,2,1,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/vastgoed-experts
De Spareribs Specialist,2010,8,8,€ 1.500,€ 0,https://franchiseplus.nl/franchiseformule/spareribs-specialist
De Senioren verhuizer,,,,,,https://franchiseplus.nl/franchiseformule/senioren-verhuizer
De ScheidingsMakelaar,2003,20,20,,,https://franchiseplus.nl/franchiseformule/scheidingsmakelaar
De Preventie Experts,2011,,,,,https://franchiseplus.nl/franchiseformule/preventie-experts
De Pannekoekenbakker,1985,15,15,€ 325.000,€ 70.000,https://franchiseplus.nl/franchiseformule/pannekoekenbakker
De Leadergroep,2003,,,,,https://franchiseplus.nl/franchiseformule/leadergroep
De KoffieMeulen,2016,3,2,€ 130.000,,https://franchiseplus.nl/franchiseformule/koffiemeulen
De Klussenier,2003,180,,,,https://franchiseplus.nl/franchiseformule/klussenier
De Kaaskoerier,,13,13,€ 4.500,€ 4.500,https://franchiseplus.nl/franchiseformule/kaaskoerier
De Hypotheker,,167,167,,,https://franchiseplus.nl/franchiseformule/hypotheker
De Hypotheekshop,1991,162,162,,,https://franchiseplus.nl/franchiseformule/hypotheekshop
De Huurwoning Bemiddelaar,2016,3,2,,€ 5.000,https://franchiseplus.nl/franchiseformule/huurwoning-bemiddelaar
De Huizenbemiddelaar,2006,48,47,,,https://franchiseplus.nl/franchiseformule/huizenbemiddelaar
